id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
1392,1580256888000,1580341773000,,1,,54,西藏自治区,西藏,,1,0,0,0,,0,zhuotingting,540000
30,1579663914000,1580998759000,确诊 2 例,1,,67,澳门,澳门,,10,0,1,0,,23,zyyun,820000
24,1579617167000,1581001304000,确诊 1 例,1,,68,台湾,台湾,,16,0,1,0,,27,huanshi,710000
182,1579860584000,1580955107000,,1,,63,青海省,青海,,18,0,3,0,,40,xuyt,630000
25,1579617215000,1581000007000,确诊 2 例 疑似 65 例,1,,66,香港,香港,,24,0,0,1,,21,huanshi,810000
38,1579774516000,1581039222000,确诊 2 例 ,1,,65,新疆维吾尔自治区,新疆,,39,0,0,0,,24,lvdong,650000
16,1579598101000,1581037360000,确诊 1 例,1,,64,宁夏回族自治区,宁夏,,43,0,1,0,,31,zyyun,640000
36,1579754908000,1581040187000,疑似 1 例,1,,15,内蒙古自治区,内蒙古,,50,0,4,0,,32,huanshi,150000
17,1579598339000,1581035709000,确诊 1 例,1,,22,吉林省,吉林,,65,0,4,1,,29,zyyun,220000
37,1579757757000,1581042261000,确诊 2 例,1,,62,甘肃省,甘肃,,67,0,9,0,,25,huanshi,620000
12,1579588572000,1581037815000,确诊 3 例,1,,52,贵州省,贵州,,77,0,6,1,,19,caoyang,520000
20,1579604600000,1581045762000,确诊 4 例,1,,12,天津市,天津,,79,0,2,1,,16,zyyun,120000
29,1579656427000,1580999473000,确诊 3 例,1,,21,辽宁省,辽宁,,94,0,5,0,,20,caoyang,210000
31,1579682845000,1581029905000,确诊 1 例,1,,14,山西省,山西,,96,0,12,0,,28,lvdong,140000
15,1579598057000,1581043131000,确诊 5 例，疑似 32 例,1,,46,海南省,海南,,114,0,8,2,,15,zyyun,460000
5,1579542213000,1581038999000,确诊 2 例,1,,53,云南省,云南,,135,0,7,0,,26,zhanglifeng,530000
33,1579705215000,1581035555000,确诊 1 例，死亡 1 例,1,,13,河北省,河北,,171,0,16,1,,30,dongyang,130000
7,1579542254000,1581038569000,确诊 5 例,1,,45,广西壮族自治区,广西,,172,0,17,0,,11,zhanglifeng,450000
35,1579745445000,1581041767000,确诊 5 例 疑似 1 例,1,,61,陕西省,陕西,,184,0,11,0,,18,zyyun,610000
32,1579688286000,1581045390000,确诊 5 例 疑似 2 例,1,,35,福建省,福建,,224,0,15,0,,12,dengyuguo,350000
6,1579542231000,1581033596000,确诊 16 例，疑似 22 例,1,,31,上海市,上海,,269,166,25,1,,5,zhanglifeng,310000
26,1579621178000,1581039099000,确诊 2 例,1,,23,黑龙江省,黑龙江,,277,0,8,3,待明确为：黑龙江省传染病防治院治愈患者2 例,22,huanshi,230000
2,1579542158000,1581045556000,确诊 22 例 ,1,,11,北京市,北京,,297,0,33,1,,4,zhanglifeng,110000
4,1579542193000,1581036480000,确诊 8 例，疑似 2 例,1,,51,四川省,四川,,344,0,37,1,,9,zhanglifeng,510000
8,1579542291000,1581037238000,确诊 6 例， 疑似 2 例,1,,37,山东省,山东,,379,0,31,0,,10,zhanglifeng,370000
34,1579709672000,1581037534000,确诊 5 例,1,,32,江苏省,江苏,,408,0,38,0,,13,huanshi,320000
22,1579612635000,1581031909000,确诊 9 例,1,,50,重庆市,重庆,,411,0,24,2,,8,huanshi,500000
18,1579598380000,1581038200000,确诊 7 例,1,,36,江西省,江西,,661,0,45,0,,17,zyyun,360000
14,1579598038000,1581037301000,确诊 9 例，疑似 4 例,1,,34,安徽省,安徽,,665,0,34,0,,7,zyyun,340000
27,1579623404000,1581038683000,确诊 24 例,1,,43,湖南省,湖南,,772,0,91,0,,6,huanshi,430000
21,1579607817000,1581038258000,确诊 5 例,1,,41,河南省,河南,,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,14,huanshi,410000
10,1579546399000,1581038523000,确诊 27 例,1,,33,浙江省,浙江,,1006,0,98,0,,3,heyanan,330000
3,1579542174000,1581039534000,确诊 32 例，疑似 1 例，治愈 2 例,1,,44,广东省,广东,,1018,0,69,1,,2,zhanglifeng,440000
1,1579538652000,1581030891000,确诊 444 例，疑似病例数待确认，治愈 28 例，死亡 17 例,1,,42,湖北省,湖北,,22112,0,817,618,,1,zhanglifeng,420000
