id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
598758,1582856739000,1582856739000,,1,,63,青海省,青海,,0,18,0,18,0,,40,wangbingbing,630000
598773,1582856739000,1582856739000,,1,,54,西藏自治区,西藏,,0,1,0,1,0,,0,wangbingbing,540000
598749,1582856739000,1582856739000,确诊 2 例,1,,67,澳门,澳门,,2,10,0,8,0,,23,wangbingbing,820000
598738,1582856739000,1582856739000,确诊 1 例,1,,64,宁夏回族自治区,宁夏,,4,72,0,68,0,,31,wangbingbing,640000
598756,1582856739000,1582856739000,确诊 2 例,1,,62,甘肃省,甘肃,,7,91,0,82,2,,25,wangbingbing,620000
598730,1582856739000,1582856739000,确诊 2 例,1,,53,云南省,云南,,22,174,0,150,2,,26,wangbingbing,530000
598739,1582856739000,1582856739000,确诊 1 例,1,,22,吉林省,吉林,,24,93,0,68,1,,29,wangbingbing,220000
598744,1582856739000,1582856739000,确诊 1 例,1,,68,台湾,台湾,,25,32,0,6,1,,27,wangbingbing,710000
598750,1582856739000,1582856739000,确诊 1 例,1,,14,山西省,山西,,26,133,0,107,0,,28,wangbingbing,140000
598748,1582856739000,1582856739000,确诊 3 例,1,,21,辽宁省,辽宁,,27,121,0,93,1,,20,wangbingbing,210000
598757,1582856739000,1582856739000,确诊 2 例 ,1,,65,新疆维吾尔自治区,新疆,,30,76,0,43,3,,24,wangbingbing,650000
598737,1582856739000,1582856739000,确诊 5 例，疑似 32 例,1,,46,海南省,海南,,31,168,0,132,5,,15,wangbingbing,460000
598741,1582856739000,1582856739000,确诊 4 例,1,,12,天津市,天津,,31,136,0,102,3,,16,wangbingbing,120000
598735,1582856739000,1582856739000,确诊 3 例,1,,52,贵州省,贵州,,32,146,0,112,2,,19,wangbingbing,520000
598755,1582856739000,1582856739000,疑似 1 例,1,,15,内蒙古自治区,内蒙古,,32,75,0,43,0,,32,wangbingbing,150000
598752,1582856739000,1582856739000,确诊 1 例，死亡 1 例,1,,13,河北省,河北,,38,318,0,274,6,,30,wangbingbing,130000
598754,1582856739000,1582856739000,确诊 5 例 疑似 1 例,1,,61,陕西省,陕西,,47,245,0,197,1,,18,wangbingbing,610000
598731,1582856739000,1582856739000,确诊 16 例，疑似 22 例,1,,31,上海市,上海,,58,337,0,276,3,未知治愈数据统一归属上海市公卫临床中心，暂无具体分区,5,wangbingbing,310000
598751,1582856739000,1582856739000,确诊 5 例 疑似 2 例,1,,35,福建省,福建,,63,296,0,232,1,,12,wangbingbing,350000
598745,1582856739000,1582856739000,确诊 2 例 疑似 65 例,1,,66,香港,香港,,65,93,0,26,2,,21,wangbingbing,810000
598732,1582856739000,1582856739000,确诊 5 例,1,,45,广西壮族自治区,广西,,84,252,0,166,2,,11,wangbingbing,450000
598753,1582856739000,1582856739000,确诊 5 例,1,,32,江苏省,江苏,,125,631,0,506,0,,13,wangbingbing,320000
598740,1582856739000,1582856739000,确诊 7 例,1,,36,江西省,江西,,144,935,0,790,1,,17,wangbingbing,360000
598727,1582856739000,1582856739000,确诊 22 例 ,1,,11,北京市,北京,,146,410,0,257,7,,4,wangbingbing,110000
598742,1582856739000,1582856739000,确诊 5 例,1,,41,河南省,河南,,149,1272,0,1103,20,参考卫健委统计口径，部分县区与地级市合并,14,wangbingbing,410000
598743,1582856739000,1582856739000,确诊 9 例,1,,50,重庆市,重庆,,169,576,0,401,6,,8,wangbingbing,500000
598736,1582856739000,1582856739000,确诊 9 例，疑似 4 例,1,,34,安徽省,安徽,,170,990,0,814,6,,7,wangbingbing,340000
598746,1582856739000,1582856739000,确诊 2 例,1,,23,黑龙江省,黑龙江,,187,480,0,280,13,,22,wangbingbing,230000
598747,1582856739000,1582856739000,确诊 24 例,1,,43,湖南省,湖南,,193,1017,0,820,4,,6,wangbingbing,430000
598729,1582856739000,1582856739000,确诊 8 例，疑似 2 例,1,,51,四川省,四川,,209,538,0,326,3,,9,wangbingbing,510000
598734,1582856739000,1582856739000,确诊 27 例,1,,33,浙江省,浙江,,261,1205,0,943,1,,3,wangbingbing,330000
598733,1582856739000,1582856739000,确诊 6 例， 疑似 2 例,1,,37,山东省,山东,,360,756,0,390,6,,10,wangbingbing,370000
598728,1582856739000,1582856739000,确诊 32 例，疑似 1 例，治愈 2 例,1,,44,广东省,广东,,422,1348,0,919,7,,2,wangbingbing,440000
598726,1582856739000,1582856739000,确诊 444 例，疑似病例数待确认，治愈 28 例，死亡 17 例,1,,42,湖北省,湖北,,36829,65914,0,26403,2682,,1,wangbingbing,420000
