id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
906379,1583723333000,1583723333000,确诊 9 例，疑似 4 例,1,,34,安徽省,安徽,,0,990,0,984,6,,7,zhangjing1,340000,
906392,1583723333000,1583723333000,确诊 2 例,1,,67,澳门,澳门,,0,10,0,10,0,,23,zhangjing1,820000,
906394,1583723333000,1583723333000,确诊 5 例 疑似 2 例,1,,35,福建省,福建,,0,296,0,295,1,,12,zhangjing1,350000,
906400,1583723333000,1583723333000,确诊 2 例 ,1,,65,新疆维吾尔自治区,新疆,,0,76,0,73,3,,24,zhangjing1,650000,
906401,1583723333000,1583723333000,,1,,63,青海省,青海,,0,18,0,18,0,,40,zhangjing1,630000,
906416,1583723333000,1583723333000,,1,,54,西藏自治区,西藏,,0,1,0,1,0,,0,zhangjing1,540000,
906373,1583723333000,1583723333000,确诊 2 例,1,,53,云南省,云南,,2,174,0,170,2,,26,zhangjing1,530000,
906382,1583723333000,1583723333000,确诊 1 例,1,,22,吉林省,吉林,,2,93,0,90,1,,29,zhangjing1,220000,
906380,1583723333000,1583723333000,确诊 5 例，疑似 32 例,1,,46,海南省,海南,,3,168,0,159,6,,15,zhangjing1,460000,
906385,1583723333000,1583723333000,确诊 5 例,1,,41,河南省,河南,,3,1272,0,1247,22,,14,zhangjing1,410000,
906381,1583723333000,1583723333000,确诊 1 例,1,,64,宁夏回族自治区,宁夏,,4,75,0,71,0,,31,zhangjing1,640000,
906384,1583723333000,1583723333000,确诊 4 例,1,,12,天津市,天津,,4,136,0,129,3,部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。,16,zhangjing1,120000,
906398,1583723333000,1583723333000,疑似 1 例,1,,15,内蒙古自治区,内蒙古,,4,75,0,70,1,,32,zhangjing1,150000,
906395,1583723333000,1583723333000,确诊 1 例，死亡 1 例,1,,13,河北省,河北,,5,318,0,307,6,,30,zhangjing1,130000,
906393,1583723333000,1583723333000,确诊 1 例,1,,14,山西省,山西,,7,133,0,126,0,,28,zhangjing1,140000,
906383,1583723333000,1583723333000,确诊 7 例,1,,36,江西省,江西,,11,935,0,923,1,,17,zhangjing1,360000,
906396,1583723333000,1583723333000,确诊 5 例,1,,32,江苏省,江苏,,13,631,0,618,0,,13,zhangjing1,320000,
906391,1583723333000,1583723333000,确诊 3 例,1,,21,辽宁省,辽宁,,15,125,0,109,1,,20,zhangjing1,210000,
906397,1583723333000,1583723333000,确诊 5 例 疑似 1 例,1,,61,陕西省,陕西,,17,245,0,227,1,,18,zhangjing1,610000,
906375,1583723333000,1583723333000,确诊 5 例,1,,45,广西壮族自治区,广西,,20,252,0,230,2,,11,zhangjing1,450000,
906378,1583723333000,1583723333000,确诊 3 例,1,,52,贵州省,贵州,,21,146,0,123,2,,19,zhangjing1,520000,
906374,1583723333000,1583723333000,确诊 16 例，疑似 22 例,1,,31,上海市,上海,,25,342,0,314,3,部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。,5,zhangjing1,310000,
906387,1583723333000,1583723333000,确诊 1 例,1,,68,台湾,台湾,,29,45,0,15,1,,27,zhangjing1,710000,
906390,1583723333000,1583723333000,确诊 24 例,1,,43,湖南省,湖南,,35,1018,0,979,4,,6,zhangjing1,430000,
906399,1583723333000,1583723333000,确诊 2 例,1,,62,甘肃省,甘肃,,35,124,0,87,2,,25,zhangjing1,620000,
906386,1583723333000,1583723333000,确诊 9 例,1,,50,重庆市,重庆,,43,576,0,527,6,,8,zhangjing1,500000,
906377,1583723333000,1583723333000,确诊 27 例,1,,33,浙江省,浙江,,44,1215,0,1170,1,丽水：确诊病例含 8 例境外输入病例；湖州：确诊病例含 2例境外输入病例。浙江：累计治愈病例不含外省治愈病例 12 例（杭州市）。,3,zhangjing1,330000,
906389,1583723333000,1583723333000,确诊 2 例,1,,23,黑龙江省,黑龙江,,47,481,0,421,13,,22,zhangjing1,230000,
906388,1583723333000,1583723333000,确诊 2 例 疑似 65 例,1,,66,香港,香港,,52,114,0,59,3,,21,zhangjing1,810000,
906372,1583723333000,1583723333000,确诊 8 例，疑似 2 例,1,,51,四川省,四川,,71,539,0,465,3,,9,zhangjing1,510000,
906371,1583723333000,1583723333000,确诊 32 例，疑似 1 例，治愈 2 例,1,,44,广东省,广东,,84,1352,0,1260,8,部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。,2,zhangjing1,440000,
906370,1583723333000,1583723333000,确诊 22 例 ,1,,11,北京市,北京,,105,428,0,315,8,北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。,4,zhangjing1,110000,
906376,1583723333000,1583723333000,确诊 6 例， 疑似 2 例,1,,37,山东省,山东,,105,758,0,647,6,,10,zhangjing1,370000,
906369,1583723333000,1583723333000,确诊 444 例，疑似病例数待确认，治愈 28 例，死亡 17 例,1,,42,湖北省,湖北,,18303,67743,0,46433,3007,,1,zhangjing1,420000,
