id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
14020,1581390213000,1581390213000,,2,亚洲,6,日本,,,161,0,9,0,,0,wangjinyuan,951002
14017,1581390213000,1581390213000,,2,亚洲,3,新加坡,,,45,0,7,0,,0,wangjinyuan,952009
14016,1581390213000,1581390213000,,2,亚洲,2,泰国,,,32,0,10,0,,0,wangjinyuan,952010
14021,1581390213000,1581390213000,,2,亚洲,7,韩国,,,28,0,3,0,,0,wangjinyuan,951004
14018,1581390213000,1581390213000,,2,亚洲,4,马来西亚,,,18,0,3,0,,0,wangjinyuan,952007
14023,1581390213000,1581390213000,,2,亚洲,9,越南,,,15,0,1,0,,0,wangjinyuan,952011
14025,1581390213000,1581390213000,,2,大洋洲,10,澳大利亚,,,15,0,3,0,,0,wangjinyuan,990001
14028,1581390213000,1581390213000,,2,欧洲,10,德国,,,14,0,0,0,,0,wangjinyuan,963003
14022,1581390213000,1581390213000,,2,北美洲,8,美国,,,13,0,0,0,,0,wangjinyuan,971002
14019,1581390213000,1581390213000,,2,欧洲,5,法国,,,11,0,0,0,,0,wangjinyuan,961002
14031,1581390213000,1581390213000,,2,亚洲,10,阿联酋,,,8,0,0,0,,0,wangjinyuan,955019
14035,1581390213000,1581390213000,,2,欧洲,10,英国,,,8,0,0,0,,0,wangjinyuan,961007
14026,1581390213000,1581390213000,,2,北美洲,10,加拿大,,,7,0,0,0,,0,wangjinyuan,971001
14033,1581390213000,1581390213000,,2,亚洲,10,印度,,,3,0,0,0,,0,wangjinyuan,953003
14034,1581390213000,1581390213000,,2,欧洲,10,意大利,,,3,0,0,0,,0,wangjinyuan,965008
14039,1581390213000,1581390213000,,2,亚洲,10,菲律宾,,,3,0,0,1,,0,wangjinyuan,952008
14036,1581390213000,1581390213000,,2,欧洲,10,俄罗斯,,,2,0,0,0,,0,wangjinyuan,964006
14037,1581390213000,1581390213000,,2,欧洲,10,西班牙,,,2,0,0,0,,0,wangjinyuan,965015
14024,1581390213000,1581390213000,,2,亚洲,10,尼泊尔,,,1,0,0,0,,0,wangjinyuan,953005
14027,1581390213000,1581390213000,,2,亚洲,10,柬埔寨,,,1,0,0,0,,0,wangjinyuan,952003
14029,1581390213000,1581390213000,,2,亚洲,10,斯里兰卡,,,1,0,0,0,,0,wangjinyuan,953007
14032,1581390213000,1581390213000,,2,欧洲,10,芬兰,,,1,0,0,0,,0,wangjinyuan,962002
14038,1581390213000,1581390213000,,2,欧洲,10,瑞典,,,1,0,0,0,,0,wangjinyuan,962005
14063,1581390213000,1581390213000,,2,欧洲,10,比利时,,,1,0,0,0,,0,wangjinyuan,961001
